GPUs,Epoch 0 Time (min),Epoch 0 Speedup,Epoch 0 Efficiency (%),Steady-State Time B=1 (min),Steady-State Speedup B=1,Steady-State Efficiency B=1 (%),Steady-State Time B=4 (min),Steady-State Speedup B=4,Steady-State Efficiency B=4 (%)
8,0.498,1.00,100.0,0.498,1.00,100.0,,,
4,0.88,1.00,100.0,0.88,1.00,100.0,,,
1,37.327,1.00,100.0,36.861,1.00,100.0,,,
2,20.384,1.83,91.6,19.785,1.86,93.2,,,
3,14.067,2.65,88.5,13.456,2.74,91.3,,,
4,11.055,3.38,84.4,10.444,3.53,88.2,,,
6,7.463,5.00,83.4,6.813,5.41,90.2,,,
8,6.110,6.11,76.4,5.415,6.81,85.1,,,
10,4.758,7.85,78.5,3.947,9.34,93.4,,,
12,4.444,8.40,70.0,3.720,9.91,82.6,,,
16,3.446,10.83,67.7,2.799,13.17,82.3,2.461,14.98,93.6
18,2.941,12.69,70.5,2.331,15.82,87.9,2.089,17.64,98.0
20,3.147,11.86,59.3,2.419,15.24,76.2,2.051,17.97,89.8
24,2.598,14.37,59.9,1.889,19.51,81.3,1.598,23.07,96.1
